,V1,X1,Z1,F2,H2,K2,N2,U2,Z2,F3,H3,K3,N3,Z3,N4,Z4,N5,Z5,N6
V1,29840|-29685,11480|3395,6860|1275,8600|2395,7695|4395, |5195,9350|4395,11330| ,9350|9015, | , | , | , | ,11600|11395, | ,16100| , |46395,8600|3675, | 
X1, | ,29865|-29720,2260|4760,4000|5880,3095|7880, |8680,4750|7880,6730| ,4750|12500, | , | , | , | ,7000|14880, | ,11500| , |49880,4000|7160, | 
Z1, | , | ,30985|-28915,1880|1260,975|3260,-54|4060,2630|3260,4610|51,2630|7880,351|91,149|50,334| ,353|-101,4880|10260,685|-290,9380|-535,1184|45260,1880|2540,1673|-269
F2, | , | , | ,29905|-29755,2095|5000, |5800,3750|5000,5730| ,3750|9620, | , | , | , | ,6000|12000, | ,10500| , |47000,3000|4280, | 
H2, | , | , | , | ,29925|-29775,-9|4895,5750|4095,7730|12,5750|8715, | ,138| ,308|-116,285|-168,8000|11095, | ,12500| , |46095,5000|3375, | 
K2, | , | , | , | , | ,29945|-29790,6550|14,8530| ,6550| , | , | , | , | ,8800| , | ,13300| , | ,5800| , | 
N2, | , | , | , | , | , | ,29950|-29795,7730|-4,5750|10370, | , | , | ,292|-195,8000|12750, | ,12500| ,1370|47750,5000|5030, | 
U2, | , | , | , | , | , | , | ,29935|-29780,27|12350, | , | , | , | , |14730, | , | , |49730, |7010, | 
Z2, | , | , | , | , | , | , | , | ,29905|-29755, | , |0, | ,199| ,12620|12750, | ,17120|-549, |47750,9620|5030, | 
F3, | , | , | , | , | , | , | , | , | ,29975|-29385, | , | , | , | , | , | , | , | , | 
H3, | , | , | , | , | , | , | , | , | , | ,29930|-29590, |0, | ,369|-25, | , | , | , | , | 
K3, | , | , | , | , | , | , | , | , | , | , | ,32885|-29405, | , | , | , | , | , | , | 
N3, | , | , | , | , | , | , | , | , | , | , | , | ,29780|-29385, |-25,395| , | ,774|-596, | , | 
Z3, | , | , | , | , | , | , | , | , | , | , | , | , | ,29645|-29410, |-45,19500|-280, |50000,12000|7280, | 
N4, | , | , | , | , | , | , | , | , | , | , | , | , | , | ,29590|-29055, | , |-375, | , | 
Z4, | , | , | , | , | , | , | , | , | , | , | , | , | , | , | ,29345|-29010, |54500,488|11780, | 
N5, | , | , | , | , | , | , | , | , | , | , | , | , | , | , | , | ,29105|-28555,47000| ,633|-359
Z5, | , | , | , | , | , | , | , | , | , | , | , | , | , | , | , | , | ,28965|-28390,500|500
N6, | , | , | , | , | , | , | , | , | , | , | , | , | , | , | , | , | , | ,29615|-28065
