,V1,X1,Z1,F2,H2,K2,N2,U2,Z2,F3,H3,K3,N3,Z3,N4,Z4,N5,Z5,N6,
V1,,181,,,,,,,,,,,,,,,,,,
X1,,,,,,,,,,,,,,,,,,,,
Z1,,,95,,,,,7,,442,199,,252,,395,,407,,1404,
F2,,,,,,,,,,,,,,,,,,,,
H2,,,,,,9,,41,27,,,192,117,223,,,,,,
K2,,,,,,,6,,,,,,,,,,,,,
N2,,,,,,,,17,37,,,,97,252,,,1870,,,
U2,,,,,,,,,6,,,,,,,,,,,
Z2,,,,,,,,,,,,,,104,,100,,1102,,
F3,,,,,,,,,,,,,,,,,,,,
H3,,,,,,,,,,,,,,344,,,,,,
K3,,,,,,,,,,,,,,,,,,,,
N3,,,,,,,,,,,,,,,,,178,,,
Z3,,,,,,,,,,,,,,,,219,,297,,
N4,,,,,,,,,,,,,,,,,,,,
Z4,,,,,,,,,,,,,,,,,,112,,
N5,,,,,,,,,,,,,,,,,,,274,
Z5,,,,,,,,,,,,,,,,,,,1000,
N6,,,,,,,,,,,,,,,,,,,,
